      pt/y   -0.9500   -0.9000   -0.8500   -0.8000   -0.7500   -0.7000   -0.6500   -0.6000   -0.5500   -0.5000   -0.4500   -0.4000   -0.3500   -0.3000   -0.2500   -0.2000   -0.1500   -0.1000   -0.0500    0.0000    0.0500    0.1000    0.1500    0.2000    0.2500    0.3000    0.3500    0.4000    0.4500    0.5000    0.5500    0.6000    0.6500    0.7000    0.7500    0.8000    0.8500    0.9000    0.9500    1.0000  
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0002    0.0006    0.0004    0.0006    0.0008    0.0005    0.0003    0.0005    0.0008    0.0007    0.0003    0.0006    0.0007    0.0007    0.0003    0.0002    0.0004    0.0008    0.0008    0.0004    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
   50.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0001    0.0003    0.0016    0.0032    0.0045    0.0049    0.0041    0.0052    0.0057    0.0043    0.0042    0.0052    0.0048    0.0049    0.0037    0.0044    0.0043    0.0048    0.0044    0.0055    0.0046    0.0018    0.0008    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
  100.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0002    0.0008    0.0026    0.0061    0.0089    0.0101    0.0088    0.0079    0.0078    0.0095    0.0097    0.0093    0.0106    0.0096    0.0107    0.0101    0.0092    0.0091    0.0096    0.0101    0.0073    0.0041    0.0013    0.0006    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
  150.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0004    0.0011    0.0030    0.0083    0.0130    0.0151    0.0133    0.0130    0.0132    0.0130    0.0122    0.0131    0.0130    0.0133    0.0148    0.0150    0.0123    0.0137    0.0153    0.0132    0.0098    0.0050    0.0013    0.0005    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
  200.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0001    0.0014    0.0039    0.0089    0.0133    0.0149    0.0176    0.0166    0.0175    0.0192    0.0178    0.0189    0.0187    0.0191    0.0181    0.0170    0.0171    0.0162    0.0173    0.0158    0.0112    0.0060    0.0020    0.0008    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
  250.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0001    0.0002    0.0011    0.0035    0.0081    0.0139    0.0186    0.0194    0.0208    0.0212    0.0216    0.0231    0.0229    0.0222    0.0222    0.0213    0.0234    0.0210    0.0207    0.0210    0.0178    0.0102    0.0047    0.0018    0.0004    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
  300.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0003    0.0010    0.0037    0.0069    0.0142    0.0197    0.0222    0.0250    0.0241    0.0259    0.0276    0.0263    0.0271    0.0265    0.0258    0.0235    0.0233    0.0230    0.0210    0.0173    0.0103    0.0051    0.0019    0.0005    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
  350.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0002    0.0010    0.0032    0.0079    0.0136    0.0182    0.0233    0.0244    0.0277    0.0284    0.0290    0.0283    0.0280    0.0304    0.0269    0.0255    0.0252    0.0239    0.0199    0.0145    0.0110    0.0041    0.0018    0.0006    0.0002    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
  400.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0007    0.0024    0.0058    0.0119    0.0168    0.0212    0.0251    0.0276    0.0300    0.0300    0.0316    0.0324    0.0298    0.0288    0.0287    0.0242    0.0237    0.0187    0.0142    0.0072    0.0041    0.0012    0.0004    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
