#varxz:    0.72387    0.00354
#varz:     0.06429    0.00041
#varx:     0.04654    0.00017
#vart:     0.09606    0.00035
#mult:    28.27076    0.18575
-0.975    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
-0.925    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
-0.875    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
-0.825    0.02587    0.02597    0.00128    0.00026    0.00257    0.00051   -0.08835    0.01767   -0.98439    0.19688
-0.775    0.05175    0.03161    0.05580    0.01367    0.11371    0.02786    0.00129    0.31469    0.98055    0.24019
-0.725    0.18111    0.03174    0.01932    0.00712    0.03901    0.01451   -0.15232    0.33411    0.32810    0.38456
-0.675    0.56921    0.11310    0.03432    0.00591    0.06998    0.01224   -0.33154    0.17014    0.04259    0.20461
-0.625    1.08668    0.18653    0.04037    0.00412    0.08240    0.00850   -0.22211    0.08491   -0.07082    0.10446
-0.575    2.34153    0.27481    0.02474    0.00393    0.05031    0.00806   -0.17378    0.05824    0.08778    0.07968
-0.525    4.47089    0.16147    0.02298    0.00210    0.04678    0.00433   -0.14381    0.05784   -0.00044    0.04972
-0.475    9.33247    0.34138    0.02762    0.00204    0.05643    0.00423   -0.16157    0.05048    0.03435    0.02850
-0.425   15.42303    0.79336    0.02710    0.00139    0.05538    0.00287   -0.20705    0.02227    0.01732    0.04641
-0.375   23.30142    1.30612    0.02893    0.00056    0.05918    0.00120   -0.17069    0.01628    0.01506    0.02177
-0.325   30.08279    0.62479    0.03361    0.00120    0.06892    0.00247   -0.12430    0.01620   -0.00906    0.02636
-0.275   33.36352    0.26827    0.03918    0.00075    0.08054    0.00158   -0.14944    0.01043    0.02165    0.01638
-0.225   34.04657    1.25263    0.04651    0.00108    0.09586    0.00229   -0.11342    0.01770   -0.02144    0.02196
-0.175   33.86028    0.70334    0.05567    0.00073    0.11519    0.00147   -0.06311    0.01550   -0.00065    0.01581
-0.125   33.72057    0.94361    0.05928    0.00134    0.12277    0.00283   -0.04293    0.02304   -0.01554    0.01940
-0.075   35.95343    1.20351    0.06187    0.00143    0.12819    0.00301   -0.03526    0.00217   -0.03905    0.00940
-0.025   34.47089    0.81938    0.06364    0.00108    0.13213    0.00228   -0.02980    0.00378   -0.04225    0.01058
 0.025   34.49159    1.29282    0.06547    0.00033    0.13590    0.00064   -0.00351    0.01455   -0.00262    0.02945
 0.075   35.57309    0.76361    0.06140    0.00120    0.12729    0.00266    0.04461    0.01301   -0.01542    0.02007
 0.125   36.00776    0.89482    0.05462    0.00154    0.11293    0.00325    0.03708    0.00767    0.00914    0.01913
 0.175   34.87193    0.64326    0.04742    0.00097    0.09780    0.00205    0.08372    0.02682   -0.04132    0.02667
 0.225   33.44631    1.02851    0.04114    0.00095    0.08471    0.00202    0.08384    0.02029   -0.01107    0.02681
 0.275   31.56016    0.43069    0.03798    0.00048    0.07805    0.00105    0.11797    0.02156   -0.00543    0.01039
 0.325   25.56533    1.01828    0.03110    0.00092    0.06370    0.00194    0.16348    0.02415    0.01196    0.01849
 0.375   19.15136    0.63986    0.02624    0.00082    0.05358    0.00170    0.16356    0.01670    0.04780    0.03132
 0.425   11.72574    0.71088    0.02648    0.00187    0.05404    0.00388    0.15593    0.03537    0.02423    0.02755
 0.475    5.74386    0.39939    0.02769    0.00118    0.05654    0.00240    0.15434    0.02066   -0.05410    0.01672
 0.525    2.61578    0.25597    0.03016    0.00319    0.06161    0.00665    0.21770    0.05048    0.06770    0.06378
 0.575    1.24191    0.14665    0.02294    0.00336    0.04693    0.00704    0.21750    0.11003    0.12667    0.09653
 0.625    0.69858    0.15543    0.01693    0.00319    0.03425    0.00651    0.18851    0.11114   -0.01690    0.19301
 0.675    0.23286    0.08554    0.01701    0.00474    0.03431    0.00957    0.36588    0.11871    0.20983    0.27514
 0.725    0.12937    0.07067    0.00520    0.00125    0.01043    0.00250    0.00134    0.24465   -0.13300    0.27380
 0.775    0.05175    0.03171    0.02316    0.00650    0.04676    0.01315    0.15911    0.03931   -0.94883    0.23244
 0.825    0.02587    0.02581    0.00461    0.00092    0.00923    0.00185    0.99936    0.19987    0.99744    0.19949
 0.875    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 0.925    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 0.975    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
